Training Epoch: 1 [128/45388]	Loss: 3.0757	LR: 0.000014
Training Epoch: 1 [256/45388]	Loss: 3.0974	LR: 0.000028
Training Epoch: 1 [384/45388]	Loss: 3.1242	LR: 0.000042
Training Epoch: 1 [512/45388]	Loss: 3.0959	LR: 0.000056
Training Epoch: 1 [640/45388]	Loss: 3.1004	LR: 0.000070
Training Epoch: 1 [768/45388]	Loss: 3.1004	LR: 0.000085
Training Epoch: 1 [896/45388]	Loss: 3.1170	LR: 0.000099
Training Epoch: 1 [1024/45388]	Loss: 3.1057	LR: 0.000113
Training Epoch: 1 [1152/45388]	Loss: 3.1220	LR: 0.000127
Training Epoch: 1 [1280/45388]	Loss: 3.1228	LR: 0.000141
Training Epoch: 1 [1408/45388]	Loss: 3.0922	LR: 0.000155
Training Epoch: 1 [1536/45388]	Loss: 3.1359	LR: 0.000169
Training Epoch: 1 [1664/45388]	Loss: 3.1345	LR: 0.000183
Training Epoch: 1 [1792/45388]	Loss: 3.1118	LR: 0.000197
Training Epoch: 1 [1920/45388]	Loss: 3.0808	LR: 0.000211
Training Epoch: 1 [2048/45388]	Loss: 3.0824	LR: 0.000225
Training Epoch: 1 [2176/45388]	Loss: 3.1380	LR: 0.000239
Training Epoch: 1 [2304/45388]	Loss: 3.1155	LR: 0.000254
Training Epoch: 1 [2432/45388]	Loss: 3.1241	LR: 0.000268
Training Epoch: 1 [2560/45388]	Loss: 3.0926	LR: 0.000282
Training Epoch: 1 [2688/45388]	Loss: 3.1178	LR: 0.000296
Training Epoch: 1 [2816/45388]	Loss: 3.0875	LR: 0.000310
Training Epoch: 1 [2944/45388]	Loss: 3.1003	LR: 0.000324
Training Epoch: 1 [3072/45388]	Loss: 3.0910	LR: 0.000338
Training Epoch: 1 [3200/45388]	Loss: 3.1136	LR: 0.000352
Training Epoch: 1 [3328/45388]	Loss: 3.1141	LR: 0.000366
Training Epoch: 1 [3456/45388]	Loss: 3.0958	LR: 0.000380
Training Epoch: 1 [3584/45388]	Loss: 3.0976	LR: 0.000394
Training Epoch: 1 [3712/45388]	Loss: 3.0949	LR: 0.000408
Training Epoch: 1 [3840/45388]	Loss: 3.0822	LR: 0.000423
Training Epoch: 1 [3968/45388]	Loss: 3.0959	LR: 0.000437
Training Epoch: 1 [4096/45388]	Loss: 3.0704	LR: 0.000451
Training Epoch: 1 [4224/45388]	Loss: 3.1382	LR: 0.000465
Training Epoch: 1 [4352/45388]	Loss: 3.1130	LR: 0.000479
Training Epoch: 1 [4480/45388]	Loss: 3.1192	LR: 0.000493
Training Epoch: 1 [4608/45388]	Loss: 3.1467	LR: 0.000507
Training Epoch: 1 [4736/45388]	Loss: 3.0570	LR: 0.000521
Training Epoch: 1 [4864/45388]	Loss: 3.1194	LR: 0.000535
Training Epoch: 1 [4992/45388]	Loss: 3.0686	LR: 0.000549
Training Epoch: 1 [5120/45388]	Loss: 3.0798	LR: 0.000563
Training Epoch: 1 [5248/45388]	Loss: 3.1218	LR: 0.000577
Training Epoch: 1 [5376/45388]	Loss: 3.0914	LR: 0.000592
Training Epoch: 1 [5504/45388]	Loss: 3.1259	LR: 0.000606
Training Epoch: 1 [5632/45388]	Loss: 3.0775	LR: 0.000620
Training Epoch: 1 [5760/45388]	Loss: 3.1018	LR: 0.000634
Training Epoch: 1 [5888/45388]	Loss: 3.0928	LR: 0.000648
Training Epoch: 1 [6016/45388]	Loss: 3.0594	LR: 0.000662
Training Epoch: 1 [6144/45388]	Loss: 3.1191	LR: 0.000676
Training Epoch: 1 [6272/45388]	Loss: 3.1172	LR: 0.000690
Training Epoch: 1 [6400/45388]	Loss: 3.0799	LR: 0.000704
Training Epoch: 1 [6528/45388]	Loss: 3.1211	LR: 0.000718
Training Epoch: 1 [6656/45388]	Loss: 3.0867	LR: 0.000732
Training Epoch: 1 [6784/45388]	Loss: 3.1193	LR: 0.000746
Training Epoch: 1 [6912/45388]	Loss: 3.0861	LR: 0.000761
Training Epoch: 1 [7040/45388]	Loss: 3.0584	LR: 0.000775
Training Epoch: 1 [7168/45388]	Loss: 3.0788	LR: 0.000789
Training Epoch: 1 [7296/45388]	Loss: 3.1011	LR: 0.000803
Training Epoch: 1 [7424/45388]	Loss: 3.0568	LR: 0.000817
Training Epoch: 1 [7552/45388]	Loss: 3.1180	LR: 0.000831
Training Epoch: 1 [7680/45388]	Loss: 3.0926	LR: 0.000845
Training Epoch: 1 [7808/45388]	Loss: 3.0796	LR: 0.000859
Training Epoch: 1 [7936/45388]	Loss: 3.0778	LR: 0.000873
Training Epoch: 1 [8064/45388]	Loss: 3.1008	LR: 0.000887
Training Epoch: 1 [8192/45388]	Loss: 3.0904	LR: 0.000901
Training Epoch: 1 [8320/45388]	Loss: 3.1010	LR: 0.000915
