Training Epoch: 1 [128/45388]	Loss: 3.0927	LR: 0.000014
Training Epoch: 1 [256/45388]	Loss: 3.0950	LR: 0.000028
Training Epoch: 1 [384/45388]	Loss: 3.1157	LR: 0.000042
Training Epoch: 1 [512/45388]	Loss: 3.1309	LR: 0.000056
Training Epoch: 1 [640/45388]	Loss: 3.0941	LR: 0.000070
Training Epoch: 1 [768/45388]	Loss: 3.0960	LR: 0.000085
Training Epoch: 1 [896/45388]	Loss: 3.1015	LR: 0.000099
Training Epoch: 1 [1024/45388]	Loss: 3.1040	LR: 0.000113
Training Epoch: 1 [1152/45388]	Loss: 3.1247	LR: 0.000127
Training Epoch: 1 [1280/45388]	Loss: 3.0749	LR: 0.000141
Training Epoch: 1 [1408/45388]	Loss: 3.1114	LR: 0.000155
Training Epoch: 1 [1536/45388]	Loss: 3.1253	LR: 0.000169
Training Epoch: 1 [1664/45388]	Loss: 3.1306	LR: 0.000183
Training Epoch: 1 [1792/45388]	Loss: 3.1138	LR: 0.000197
Training Epoch: 1 [1920/45388]	Loss: 3.1165	LR: 0.000211
Training Epoch: 1 [2048/45388]	Loss: 3.1096	LR: 0.000225
Training Epoch: 1 [2176/45388]	Loss: 3.1021	LR: 0.000239
Training Epoch: 1 [2304/45388]	Loss: 3.1129	LR: 0.000254
Training Epoch: 1 [2432/45388]	Loss: 3.1266	LR: 0.000268
Training Epoch: 1 [2560/45388]	Loss: 3.1358	LR: 0.000282
Training Epoch: 1 [2688/45388]	Loss: 3.1227	LR: 0.000296
Training Epoch: 1 [2816/45388]	Loss: 3.1340	LR: 0.000310
Training Epoch: 1 [2944/45388]	Loss: 3.1222	LR: 0.000324
Training Epoch: 1 [3072/45388]	Loss: 3.1193	LR: 0.000338
Training Epoch: 1 [3200/45388]	Loss: 3.1251	LR: 0.000352
Training Epoch: 1 [3328/45388]	Loss: 3.1000	LR: 0.000366
Training Epoch: 1 [3456/45388]	Loss: 3.0962	LR: 0.000380
Training Epoch: 1 [3584/45388]	Loss: 3.1175	LR: 0.000394
Training Epoch: 1 [3712/45388]	Loss: 3.0971	LR: 0.000408
Training Epoch: 1 [3840/45388]	Loss: 3.1323	LR: 0.000423
Training Epoch: 1 [3968/45388]	Loss: 3.1263	LR: 0.000437
Training Epoch: 1 [4096/45388]	Loss: 3.0834	LR: 0.000451
Training Epoch: 1 [4224/45388]	Loss: 3.1186	LR: 0.000465
Training Epoch: 1 [4352/45388]	Loss: 3.0739	LR: 0.000479
Training Epoch: 1 [4480/45388]	Loss: 3.1134	LR: 0.000493
Training Epoch: 1 [4608/45388]	Loss: 3.0892	LR: 0.000507
Training Epoch: 1 [4736/45388]	Loss: 3.1278	LR: 0.000521
Training Epoch: 1 [4864/45388]	Loss: 3.1305	LR: 0.000535
Training Epoch: 1 [4992/45388]	Loss: 3.0920	LR: 0.000549
Training Epoch: 1 [5120/45388]	Loss: 3.0775	LR: 0.000563
Training Epoch: 1 [5248/45388]	Loss: 3.0745	LR: 0.000577
Training Epoch: 1 [5376/45388]	Loss: 3.0906	LR: 0.000592
Training Epoch: 1 [5504/45388]	Loss: 3.1056	LR: 0.000606
Training Epoch: 1 [5632/45388]	Loss: 3.0822	LR: 0.000620
Training Epoch: 1 [5760/45388]	Loss: 3.1273	LR: 0.000634
Training Epoch: 1 [5888/45388]	Loss: 3.1237	LR: 0.000648
Training Epoch: 1 [6016/45388]	Loss: 3.0911	LR: 0.000662
Training Epoch: 1 [6144/45388]	Loss: 3.1337	LR: 0.000676
Training Epoch: 1 [6272/45388]	Loss: 3.0708	LR: 0.000690
Training Epoch: 1 [6400/45388]	Loss: 3.1030	LR: 0.000704
Training Epoch: 1 [6528/45388]	Loss: 3.1240	LR: 0.000718
Training Epoch: 1 [6656/45388]	Loss: 3.0974	LR: 0.000732
